book_id,gutenberg_id,title,pattern
34175,6,"Give Me Liberty or Give Me Death",section1
31227,7,"The Mayflower Compact",section1
35910,8,"Abraham Lincoln's Second Inaugural Address",section1
30239,9,"Abraham Lincoln's First Inaugural Address",section1
35344,10,"The King James Version of the Bible",section1
31571,16,"Peter Pan : [Peter and Wendy]",section1
34404,17,"The Book of Mormon : an account written by the hand of Mormon, upon plates taken from the plates of Nephi",section1
35562,19,"The Song of Hiawatha",section1
29849,20,"Paradise Lost",section1
36349,21,"Three hundred Aesop’s fables Translated by George Fyler Townsend",section1
30126,27,"Far from the Madding Crowd",section1
34268,28,"The Fables of Aesop Selected, Told Anew, and Their History Traced",section1
31282,29,"The 1990 United States Census",section1
44000,30,"The Bible, King James Version, Complete",section1
41138,31,"Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone",section1
7992,33,"The Scarlet Letter",section1
4410,35,"The Time Machine",section1
44932,37,"The 1990 United States Census [2nd]",section1
39567,38,"The Jargon File, Version 2.9.10, 01 Jul 1992",section1
46219,39,"Hitchhiker's Guide to the Internet",section1
31908,42,"The strange case of Dr. Jekyll and Mr. Hyde",section1
38163,44,"The Song of the Lark",section1
74302,49,"Surfing the Internet: An Introduction Version 2.0.2",end_marker
1807,50,Pi,end_marker
43895,53,"Workshop on Electronic Texts: Proceedings, 9-10 June 1992",section1
48206,63,"The Number ""e""",section1
41979,65,"The First 100,000 Prime Numbers",end_marker
6362,67,"The Black Experience in America",end_marker
1950,68,"The warlord of Mars",section1
5080,69,"The 32nd Mersenne Prime Predicted by Mersenne",end_marker
37422,72,"Thuvia, maid of Mars",section1
33825,74,"The Adventures of Tom Sawyer, Complete",section1
36760,75,"E-mail 101",section1
33545,80,"The Online World",section1
36857,81,"The Return of Tarzan",section1
33260,87,"The 1993 CIA World Factbook",section1
38964,88,"Price/Cost Indexes from 1875 to 1989; Estimated to 2010",section1
32099,89,"North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions",section1
1034,92,"Tarzan and the Jewels of Opar",section1
6639,93,"Tom Sawyer, Detective",section1
7025,94,"Alexander's Bridge",section1
467,95,"The prisoner of Zenda",section1
42644,96,"The Monster Men",section1
47927,97,"Flatland: A Romance of Many Dimensions",section1
46607,99,"Collected Articles of Frederick Douglass",section1
42983,100,"The Complete Works of William Shakespeare",section1
47113,101,"The Hacker Crackdown: Law and Disorder on the Electronic Frontier",section1
4979,102,"The Tragedy of Pudd'nhead Wilson",section1
2043,103,"Around the World in Eighty Days",section1
5618,105,Persuasion,section1
46578,106,"Jungle Tales of Tarzan",section1
42691,109,"Renascence, and Other Poems",section1
38222,110,"Tess of the d'Urbervilles: A Pure Woman",section1
32832,111,Freckles,section1
33122,118,"Big Dummy's Guide to the Internet",section1
37159,121,"Northanger Abbey",section1
37682,126,"The Poison Belt",section1
38684,128,"The Arabian Nights Entertainments",section1
41580,131,"The Pilgrim's Progress from this world to that which is to come Delivered under the similitude of a dream, by John Bunyan",section1
136,135,"Les Misérables",section1
43766,138,"George Sand: Some Aspects of Her Life and Writings",section1
46943,139,"The Lost World",section1
31187,142,"The $30,000 Bequest, and Other Stories",section1
34354,143,"The Mayor of Casterbridge",section1
34816,144,"The Voyage Out",section1
46313,152,"Wild Justice",section1
39482,153,"Jude the Obscure",section1
40242,154,"The Rise of Silas Lapham",section1
45670,155,"The Moonstone",section1
3708,159,"The island of Doctor Moreau",section1
4800,161,"Sense and Sensibility",section1
40797,162,"Take Me for a Ride: Coming of Age in a Destructive Cult",section1
45019,163,"Flower Fables",section1
41380,165,"McTeague: A Story of San Francisco",section1
8532,167,"American Hand Book of the Daguerreotype",section1
