34175|6|Give Me Liberty or Give Me Death
31227|7|The Mayflower Compact
35910|8|Abraham Lincoln's Second Inaugural Address
30239|9|Abraham Lincoln's First Inaugural Address
35344|10|The King James Version of the Bible
31571|16|Peter Pan : [Peter and Wendy]
34404|17|The Book of Mormon : an account written by the hand of Mormon, upon plates taken from the plates of Nephi
35562|19|The Song of Hiawatha
29849|20|Paradise Lost
36349|21|Three hundred Aesop’s fables Translated by George Fyler Townsend
30126|27|Far from the Madding Crowd
34268|28|The Fables of Aesop Selected, Told Anew, and Their History Traced
44000|30|The Bible, King James Version, Complete
41138|31|Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone
7992|33|The Scarlet Letter
4410|35|The Time Machine
39567|38|The Jargon File, Version 2.9.10, 01 Jul 1992
46219|39|Hitchhiker's Guide to the Internet
31908|42|The strange case of Dr. Jekyll and Mr. Hyde
38163|44|The Song of the Lark
43895|53|Workshop on Electronic Texts: Proceedings, 9-10 June 1992
1950|68|The warlord of Mars
37422|72|Thuvia, maid of Mars
33825|74|The Adventures of Tom Sawyer, Complete
36760|75|E-mail 101
36857|81|The Return of Tarzan
33260|87|The 1993 CIA World Factbook
38964|88|Price/Cost Indexes from 1875 to 1989; Estimated to 2010
32099|89|North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions
1034|92|Tarzan and the Jewels of Opar
6639|93|Tom Sawyer, Detective
7025|94|Alexander's Bridge
467|95|The prisoner of Zenda
47927|97|Flatland: A Romance of Many Dimensions
42983|100|The Complete Works of William Shakespeare
47113|101|The Hacker Crackdown: Law and Disorder on the Electronic Frontier
4979|102|The Tragedy of Pudd'nhead Wilson
2043|103|Around the World in Eighty Days
5618|105|Persuasion
46578|106|Jungle Tales of Tarzan
42691|109|Renascence, and Other Poems
33122|118|Big Dummy's Guide to the Internet
37159|121|Northanger Abbey
37682|126|The Poison Belt
38684|128|The Arabian Nights Entertainments
136|135|Les Misérables
43766|138|George Sand: Some Aspects of Her Life and Writings
46943|139|The Lost World
31187|142|The $30,000 Bequest, and Other Stories
34354|143|The Mayor of Casterbridge
46313|152|Wild Justice
39482|153|Jude the Obscure
40242|154|The Rise of Silas Lapham
45670|155|The Moonstone
3708|159|The island of Doctor Moreau
4800|161|Sense and Sensibility
40797|162|Take Me for a Ride: Coming of Age in a Destructive Cult
45019|163|Flower Fables
8532|167|American Hand Book of the Daguerreotype
2665|168|The History and Practice of the Art of Photography
35478|172|The Haunted Bookshop
36115|175|The Phantom of the Opera
29465|180|The 1994 CIA World Factbook
36055|181|The Project Gutenberg RST Manual
24145|203|Uncle Tom's Cabin
27864|205|Walden, and On The Duty Of Civil Disobedience
56929|222|The Moon and Sixpence
23024|232|The Georgics
28439|233|Sister Carrie: A Novel
18193|244|A Study in Scarlet
51159|246|The Rubaiyat of Omar Khayyam
49698|248|Webster's Unabridged Dictionary (2nd 100 Pages)
55047|249|French Cave Paintings
20281|250|A Brief History of the Internet The Bright Side: The Dark Side
19471|257|Troilus and Criseyde
26702|269|Beasts and Super-Beasts
55446|276|Franz Haydn's 104th Symphony [1794-5] MIDI file
50092|277|Trinity Site
50796|279|Photos and Maps of Trinity (Atomic Test) Site
19383|281|Father Damien: An Open Letter to the Reverend Dr. Hyde of Honolulu
55504|282|Eothen; Or, Traces of Travel Brought Home from the East
18699|286|Laddie: A True Blue Story
699|300|United States Declaration of Independence
6034|308|Three men in a boat (to say nothing of the dog)
33488|315|Rhymes of a Red Cross Man
38270|322|St. Ives: Being the Adventures of a French Prisoner in England
32174|324|A Knight of the Cumberland
39032|325|Phantastes: A Faerie Romance for Men and Women
42938|332|The Burial of the Guns
47130|333|Robert Louis Stevenson
46539|334|Episodes in Van Bibber's Life
43404|335|Frances Waldeaux: A Novel
35462|340|The Soul of the Indian: An Interpretation
29274|346|The Troll Garden, and Selected Stories
31026|348|Hesiod, the Homeric Hymns, and Homerica
41339|357|A Dream of John Ball; and, A King's Lesson
45263|358|The Scarlet Car
46354|360|What is Property? An Inquiry into the Principle of Right and of Government
39471|361|Miss Billy — Married
40284|366|Bab: A Sub-Deb
31140|370|The Fortunes and Misfortunes of the Famous Moll Flanders
34373|371|Literary Blunders: A Chapter in the "History of Human Error"
